2025-07-22 19:09:53,964 | BTC/USDT | Price=118715.95 | RSI=43.77 | EMA=118322.67 | ATR=17978.22 | Bid=0.15 Ask=0.17 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:09:56,070 | BTC/USDT | Price=118713.69 | RSI=43.52 | EMA=118322.67 | ATR=17978.22 | Bid=0.15 Ask=0.17 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:10:54,461 | BTC/USDT | Price=118696.99 | RSI=41.57 | EMA=118322.10 | ATR=17978.22 | Bid=0.07 Ask=0.65 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:10:56,544 | BTC/USDT | Price=118707.69 | RSI=42.76 | EMA=118320.67 | ATR=17978.22 | Bid=0.07 Ask=0.65 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:11:53,441 | BTC/USDT | Price=118610.37 | RSI=33.60 | EMA=118312.83 | ATR=17980.06 | Bid=0.16 Ask=0.59 | Conf=4 | Signal=📈 СИГНАЛ: ПОКУПАТЬ
2025-07-22 19:12:52,961 | BTC/USDT | Price=118496.89 | RSI=27.21 | EMA=118302.02 | ATR=17992.79 | Bid=0.19 Ask=0.17 | Conf=4 | Signal=📈 СИГНАЛ: ПОКУПАТЬ
2025-07-22 19:13:53,944 | BTC/USDT | Price=118485.91 | RSI=26.72 | EMA=118300.97 | ATR=17992.79 | Bid=0.08 Ask=0.18 | Conf=4 | Signal=📈 СИГНАЛ: ПОКУПАТЬ
2025-07-22 19:14:53,916 | BTC/USDT | Price=118580.86 | RSI=38.77 | EMA=118310.02 | ATR=17992.79 | Bid=0.19 Ask=0.22 | Conf=3 | Signal=📈 СИГНАЛ: ПОКУПАТЬ
2025-07-22 19:15:54,410 | BTC/USDT | Price=118565.99 | RSI=37.98 | EMA=118308.60 | ATR=17992.79 | Bid=0.23 Ask=0.22 | Conf=3 | Signal=📈 СИГНАЛ: ПОКУПАТЬ
2025-07-22 19:16:53,961 | BTC/USDT | Price=118621.99 | RSI=43.99 | EMA=118313.93 | ATR=17992.79 | Bid=0.14 Ask=0.21 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:16:55,556 | BTC/USDT | Price=118621.99 | RSI=43.99 | EMA=118313.93 | ATR=17992.79 | Bid=0.14 Ask=0.21 | Conf=2 | Signal=❕ Нет условий для входа
